chr5	112073439	112073576	APC_138	137	21	23
chr17	41277353	41277474	BRCA1_122	121	26	21
chr16	68771221	68771344	CDH1_3'_124	123	24	25
chr16	68770947	68771087	CDH1_SNP_141	140	21	19
chr9	21974948	21975096	CDKN2A_149	148	25	20
chr9	90112780	90112885	DAPK1_p1_106	105	26	19
chr9	90112992	90113146	DAPK1_p2_155	154	19	23
chr9	90113565	90113688	DAPK1_i1_124	123	23	22
chr11	67351061	67351211	GSTP1_151	150	23	23
chr10	131265509	131265538	MGMT_110	29	24	22
chr10	131265469	131265623	MGMT_merged	154	22	20
chr3	25469832	25469955	RARB_124	123	23	29
chr3	50378193	50378345	RASSF1A_153	152	23	25
chr1	25256058	25256152	RUNX3_95	94	28	28
chr3	37034629	37034740	MLH1	111	21	28
